manjaro-openbox-grub-theme-glassfield 1.0-2
manjaro-openbox-maia 1.0-1
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 18.0.0-1.1
manjaro-settings-manager 0.5.5-2
manjaro-settings-manager-notifier 0.5.5-2
manjaro-system 20180828-2
manjaro-wallpapers-18.0 1.4-3
manjaro-zsh-config 0.11-1
mdadm 4.0-1
media-player-info 23-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
mesa 18.2.4-1
mesa-demos 8.4.0-1
meson 0.48.1-1
metis 5.1.0.p3-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-4
mhwd-nvidia 1:410.73-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.87-1
micro-manjaro 1.4.0-8
mimetic 0.9.8-1
mingw-w64-binutils 2.31.1-1
mingw-w64-crt 6.0.0-1
mingw-w64-gcc-bin 8.2.0-2
mingw-w64-headers 6.0.0-1
mingw-w64-winpthreads 6.0.0-1
mjpegtools 2.1.0-3
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20170310-1
modemmanager 1.8.2-1
modemmanager-qt 5.51.0-1
mono 5.16.0.179-1
mono-addins 1.3.3-2
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
msgpack-c 3.1.1-1
mtdev 1.1.5-2
mtpfs 1.1-3
muparser 2.2.6-1
mypaint-brushes 1.3.0-2
nano 3.1-1
nasm 2.13.03-1
ncurses 6.1-4
ndctl 63-1
neon 0.30.2-3
neovim 0.3.1-1
net-snmp 5.8-1
netcf 0.2.8-4
nettle 3.4-1
network-manager-applet 1.8.19dev+21+geebf7f95-1
networkmanager 1.14.5dev+17+gba83251bb-1
networkmanager-dispatcher-ntpd 1.0-7
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.8-1
networkmanager-pptp 1.2.8-1
networkmanager-qt 5.51.0-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
ninja 1.8.2-1
nm-connection-editor 1.8.19dev+21+geebf7f95-1
nmon 16g-1
node-gyp 3.8.0-1
nodejs 11.1.0-1
noto-fonts 20181024-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.40-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p12-2
numactl 2.0.12-1
numlockx 1.2-4
oath-toolkit 2.6.2-5
obkey 1.0.11.gf599e29-1
octopi-cachecleaner 0.9.0-5
octopi-repoeditor 0.9.0-5
oni 0.3.6-1
oniguruma 6.9.0-1
openal 1.19.1-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.9p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
openvpn 2.4.6-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-2
osinfo-db 20180903-1
osl 0.9.2-2
p11-kit 0.23.14-1
p7zip 16.02-5
pa-applet 1.0.2-3
pacaur 4.7.90-1
pacman 5.1.1-3
pacman-mirrors 4.14.0-3
pam 1.3.1-1
pamac 7.2.2-1
pambase 20171006-1
pango 1.42.4-1
pangomm 2.42.0-1
